Timestamp,Color Counts,Average Areas
2025-03-25 11:01:21.374155,"{'Blue': 3, 'Black': 3}","{'Blue': 37008.0, 'Black': 15778.33}"
2025-03-25 11:01:21.389894,"{'Blue': 2, 'Black': 3}","{'Blue': 58837.5, 'Black': 14939.67}"
2025-03-25 11:01:21.404608,"{'Blue': 2, 'Black': 3}","{'Blue': 58837.5, 'Black': 14939.67}"
2025-03-25 11:01:21.420316,"{'Blue': 2, 'Black': 3}","{'Blue': 58837.5, 'Black': 14939.67}"
2025-03-25 11:01:21.435208,"{'Blue': 2, 'Black': 3}","{'Blue': 58837.5, 'Black': 14939.67}"
2025-03-25 11:01:21.452049,"{'Blue': 2, 'Black': 2}","{'Blue': 60444.5, 'Black': 20746.5}"
2025-03-25 11:01:21.466697,"{'Blue': 2, 'Black': 2}","{'Blue': 60444.5, 'Black': 20746.5}"
2025-03-25 11:01:21.484512,"{'Blue': 2, 'Black': 2}","{'Blue': 60444.5, 'Black': 20746.5}"
2025-03-25 11:01:21.499307,"{'Blue': 2, 'Black': 4}","{'Blue': 62196.75, 'Black': 10692.0}"
2025-03-25 11:01:21.514798,"{'Blue': 2, 'Black': 4}","{'Blue': 62196.75, 'Black': 10692.0}"
2025-03-25 11:01:21.530755,"{'Blue': 2, 'Black': 4}","{'Blue': 62196.75, 'Black': 10692.0}"
2025-03-25 11:01:21.544746,"{'Blue': 2, 'Black': 4}","{'Blue': 62629.25, 'Black': 11018.62}"
2025-03-25 11:01:21.560734,"{'Blue': 2, 'Black': 4}","{'Blue': 62629.25, 'Black': 11018.62}"
2025-03-25 11:01:21.575724,"{'Blue': 2, 'Black': 4}","{'Blue': 62629.25, 'Black': 11018.62}"
2025-03-25 11:01:21.591951,"{'Blue': 2, 'Black': 4}","{'Blue': 62629.25, 'Black': 11018.62}"
2025-03-25 11:01:21.606936,"{'Blue': 3, 'Black': 4}","{'Blue': 42847.0, 'Black': 11221.75}"
